row,column,value
7,3,1.32854551402
6,9,2.3118898064
0,7,3.21276144882
1,6,2.97077400391
3,7,4.3822446847
2,5,2.47334939756
8,5,2.20643970417
5,8,1.60354340402
4,0,2.27854344599
9,0,2.33476719545
6,7,3.05291875348
5,5,1.64884782641
7,6,1.48687017569
0,4,3.26865471292
1,1,2.82075538229
3,2,4.77282718228
2,6,2.09539463431
8,2,3.01834283587
4,5,2.0806162534
9,3,2.04095893165
6,0,2.03548638485
7,5,1.4096369423
0,1,2.82924983999
3,1,3.57548793169
9,9,1.83002278748
7,8,1.64201210434
2,1,1.93234471195
8,9,2.21141911442
9,4,2.70603052131
5,1,1.51751621617
7,2,2.49089148463
1,5,2.90909718696
3,6,3.37415236716
2,2,2.72278734467
8,6,2.73572937963
4,1,2.25558568861
9,7,2.76168029158
6,4,2.80489716638
5,4,2.00612625638
7,1,1.48018749585
0,5,3.17328442408
1,0,3.07516401731
0,8,2.83860949773
3,5,3.5184197545
2,7,2.55011343587
8,3,1.69457529671
4,6,2.05080445383
9,2,2.83714854623
6,1,1.65097245755
5,7,2.39411262002
7,4,1.56104425534
0,2,3.5094308464
1,3,2.52174162466
4,8,2.72991094051
3,0,3.7146726676
2,8,1.75817958484
9,8,2.17881936693
8,0,2.37443194407
6,2,2.92456251369
5,0,1.93235507667
1,4,3.76615382718
3,9,3.51539921179
2,3,1.33774727217
1,9,3.08015007543
8,7,2.64902175196
4,2,2.74678945445
9,6,1.90096920526
6,5,1.77489726543
5,3,1.59697484926
7,0,1.66531605781
6,8,2.38955339598
0,6,2.54038325733
1,7,3.90153107086
0,9,2.59291928774
3,4,4.40260912841
2,4,2.11747700862
8,4,3.01576531366
5,9,1.8054311503
4,7,2.46244616254
9,1,2.17073746731
6,6,2.49377754975
5,6,2.13521654462
7,7,1.90980862221
0,3,2.26335208284
1,2,4.23647134538
4,9,1.6353066069
3,3,2.72477487422
2,9,2.10507779587
8,1,2.07774447171
4,4,3.17658315239
6,3,1.82484568526
0,0,3.0970436065
7,9,1.62516571788
3,8,3.81280834944
2,0,2.49415391859
1,8,3.31618781744
8,8,2.5938342488
4,3,2.19239300178
9,5,2.16303514705
5,2,2.65731371987
